time,gFx,gFy,gFz,TgF
3.103000,-0.4818,0.2384,1.0294,1.173
3.112000,-0.4661,0.2471,1.0694,1.202
3.122000,-0.3899,0.2774,1.0508,1.159
3.149000,-0.3040,0.2862,1.0988,1.174
3.152000,-0.2834,0.2852,1.1173,1.185
3.154000,-0.3890,0.2969,1.0762,1.186
3.162000,-0.4818,0.3048,1.0870,1.236
3.172000,-0.4915,0.3174,1.0587,1.219
3.184000,-0.5072,0.3253,1.0206,1.195
3.192000,-0.5287,0.2774,0.9698,1.153
3.202000,-0.5609,0.2568,0.9209,1.126
3.212000,-0.5581,0.2540,0.8838,1.095
3.222000,-0.5766,0.2500,0.8779,1.100
3.239000,-0.5981,0.2324,0.8671,1.101
3.245000,-0.5814,0.2237,0.8691,1.091
3.255000,-0.5131,0.2481,0.8994,1.081
3.262000,-0.5169,0.2657,0.9190,1.103
3.271000,-0.5072,0.2666,0.9141,1.094
3.285000,-0.4798,0.2833,0.8887,1.062
3.292000,-0.4866,0.2901,0.8603,1.044
3.302000,-0.5199,0.3087,0.8202,1.035
3.312000,-0.5844,0.3008,0.8310,1.079
3.322000,-0.6723,0.2491,0.7880,1.093
3.339000,-0.6529,0.2559,0.8085,1.096
3.345000,-0.5717,0.2628,0.8398,1.070
3.353000,-0.5629,0.2559,0.8242,1.051
3.367000,-0.5560,0.2657,0.8281,1.052
3.372000,-0.5131,0.2657,0.7811,0.990
3.384000,-0.5218,0.2813,0.7548,0.979
3.392000,-0.5678,0.2950,0.7019,0.972
3.404000,-0.5336,0.2882,0.6199,0.891
3.416000,-0.6694,0.3644,0.5935,0.994
3.421000,-0.7144,0.3693,0.5779,1.021
3.432000,-0.7701,0.4024,0.5945,1.084
3.442000,-0.8239,0.4650,0.5886,1.144
3.455000,-0.8570,0.5373,0.5954,1.202
3.472000,-0.8521,0.5677,0.6423,1.234
3.473000,-0.7554,0.5950,0.7177,1.218
3.482000,-0.7095,0.6106,0.6961,1.182
3.492000,-0.8150,0.5920,0.5857,1.189
3.502000,-0.8013,0.5735,0.5661,1.161
3.515000,-0.7359,0.5324,0.4264,1.030
3.522000,-0.6929,0.4885,0.3942,0.963
3.532000,-0.6411,0.5100,0.3267,0.908
3.552000,-0.6723,0.5207,0.2915,0.926
3.566000,-0.7173,0.4856,0.1762,0.919
3.567000,-0.8082,0.4816,0.1743,0.996
3.572000,-0.6968,0.4523,0.2241,0.895
3.582000,-0.6411,0.4494,0.2505,0.854
3.592000,-0.6098,0.4953,0.2964,0.865
3.603000,-0.5278,0.4767,0.3727,0.822
3.612000,-0.4163,0.4562,0.3101,0.705
3.621000,-0.4691,0.4709,0.3374,0.762
3.633000,-0.5981,0.5119,0.3189,0.872
3.647000,-0.6401,0.5168,0.3169,0.907
3.651000,-0.6382,0.5227,0.3228,0.910
3.661000,-0.7349,0.5471,0.2964,0.992
3.672000,-0.7535,0.5276,0.2603,0.988
3.682000,-0.7242,0.4377,0.2329,0.914
3.695000,-0.7319,0.3702,0.1880,0.884
3.701000,-0.7398,0.2686,0.1263,0.849
3.712000,-0.7154,0.2060,0.1538,0.815
3.722000,-0.7144,0.2149,0.1352,0.813
3.736000,-0.6978,0.2237,0.2095,0.813
3.743000,-0.8590,0.2657,0.1938,0.973
3.758000,-0.9851,0.3116,0.2837,1.122
3.761000,-1.0505,0.2715,0.4284,1.217
3.773000,-1.0037,0.2510,0.4899,1.194
3.783000,-0.8404,0.2060,0.6033,1.098
3.792000,-0.8150,0.2070,0.6991,1.132
3.802000,-0.9177,0.2638,0.7704,1.264
3.813000,-1.0271,0.3067,0.8633,1.413
3.832000,-0.9226,0.3087,0.8603,1.332
3.834000,-0.7535,0.3556,0.8818,1.238
3.849000,-0.6059,0.3272,0.8398,1.106
3.851000,-0.3743,0.2833,0.7186,0.868
3.863000,-0.2776,0.2706,0.6120,0.729
3.873000,-0.5423,0.3029,0.4088,0.775
3.882000,-1.0086,0.4269,0.1664,1.156
3.895000,-1.1502,0.5520,0.1352,1.328
3.901000,-1.0320,0.6898,0.1254,1.284
3.916000,-0.9450,0.7876,0.2104,1.275
3.925000,-0.8013,0.8461,0.1547,1.194
3.931000,-0.7456,0.8677,0.1957,1.175
3.946000,-0.7232,0.8667,0.2407,1.167
3.956000,-0.6900,0.8237,0.2329,1.112
3.966000,-0.6694,0.7797,0.2798,1.078
3.972000,-0.6411,0.7523,0.3120,1.049
3.983000,-0.6303,0.7045,0.2926,1.004
3.992000,-0.6333,0.6507,0.2749,0.967
4.004000,-0.6040,0.6390,0.2768,0.938
4.012000,-0.5463,0.5960,0.2534,0.863
4.023000,-0.5492,0.5403,0.1674,0.810
4.032000,-0.6040,0.5315,0.0981,0.838
4.042000,-0.7007,0.5373,-0.1119,0.925
4.067000,-0.7554,0.5207,-0.1726,0.972
4.071000,-0.7505,0.5256,-0.2088,0.978
4.072000,-0.7379,0.5608,-0.2058,0.985
4.086000,-0.7437,0.5804,-0.1960,0.998
4.092000,-0.7955,0.6742,-0.1696,1.088
4.103000,-0.7564,0.6957,-0.0895,1.059
4.115000,-0.6860,0.6908,-0.0006,0.997
4.123000,-0.6772,0.7523,0.0385,1.032
4.132000,-0.6802,0.7729,0.0531,1.048
4.142000,-0.6753,0.7914,0.1068,1.061
4.160000,-0.6284,0.7816,0.1586,1.028
4.162000,-0.5492,0.7485,0.1929,0.957
4.172000,-0.5824,0.7406,0.1771,0.970
4.188000,-0.6117,0.7572,0.1352,0.996
4.203000,-0.6226,0.7837,0.1312,1.022
4.205000,-0.6636,0.7816,0.1244,1.048
4.216000,-0.6480,0.7807,0.1332,1.037
4.227000,-0.6235,0.7837,0.1547,1.025
4.249000,-0.5698,0.7523,0.1489,0.966
4.250000,-0.6215,0.7514,0.1186,0.997
4.251000,-0.6128,0.7865,0.0804,1.013
4.263000,-0.5678,0.8022,0.0951,0.996
4.272000,-0.5532,0.8277,0.0697,1.005
4.285000,-0.5609,0.8461,0.0413,1.023
4.294000,-0.5678,0.8862,0.0287,1.058
4.332000,-0.5658,0.8785,0.0034,1.051
4.334000,-0.5658,0.8785,0.0034,1.051
4.335000,-0.5678,0.8813,0.0053,1.054
4.336000,-0.5512,0.8520,0.0072,1.021
4.341000,-0.4866,0.8091,-0.0064,0.948
4.352000,-0.4535,0.7778,-0.0446,0.905
4.362000,-0.4710,0.7474,-0.0523,0.892
4.372000,-0.4945,0.7182,-0.0387,0.883
4.382000,-0.5072,0.7211,-0.0357,0.893
4.392000,-0.4808,0.7768,-0.0299,0.920
4.402000,-0.4270,0.8159,-0.0318,0.921
4.414000,-0.4193,0.9409,-0.0367,1.025
4.422000,-0.3704,1.1061,-0.0387,1.153
4.433000,-0.3420,1.2830,-0.0357,1.309
4.441000,-0.3636,1.3778,-0.0670,1.407
4.453000,-0.2834,1.2507,-0.0973,1.264
4.473000,-0.1828,0.9977,-0.0886,0.994
4.478000,-0.2697,0.8256,-0.1413,0.868
4.484000,-0.4330,0.7631,-0.2067,0.906
4.502000,-0.4564,0.7816,-0.1755,0.927
4.505000,-0.3743,0.9039,-0.1228,0.979
4.512000,-0.3469,0.9635,-0.1159,1.020
4.522000,-0.3088,1.0103,-0.0905,1.045
4.531000,-0.3254,0.9722,-0.1354,1.022
4.542000,-0.3391,0.9283,-0.1667,0.993
4.552000,-0.3948,0.8774,-0.1706,0.974
4.571000,-0.3899,0.8667,-0.1442,0.957
4.573000,-0.4134,0.9253,-0.0944,1.013
4.584000,-0.3704,0.9214,-0.0719,0.987
4.600000,-0.3548,0.9204,-0.0465,0.978
4.604000,-0.3596,0.9165,-0.0474,0.976
4.617000,-0.3587,0.9067,-0.0260,0.966
4.622000,-0.3753,0.9146,-0.0474,0.982
4.632000,-0.3371,0.8999,-0.0474,0.952
4.652000,-0.3420,0.9214,-0.0690,0.975
4.654000,-0.3587,0.9458,-0.0592,1.003
4.665000,-0.3391,0.9370,-0.0534,0.987
4.672000,-0.3333,0.9351,-0.0660,0.983
4.682000,-0.3362,0.9409,-0.0758,0.991
4.693000,-0.3147,0.9419,-0.0709,0.982
4.702000,-0.2961,0.9332,-0.0494,0.966
4.713000,-0.2697,0.9283,-0.0562,0.952
4.722000,-0.2414,0.9351,-0.0670,0.949
4.733000,-0.2229,0.9332,-0.0562,0.941
4.758000,-0.2257,0.9488,-0.0504,0.956
4.760000,-0.2404,0.9488,-0.0543,0.961
4.762000,-0.2150,0.9341,-0.0357,0.938
4.774000,-0.2248,0.9595,-0.0299,0.965
4.782000,-0.2160,0.9703,-0.0397,0.973
4.793000,-0.1926,0.9586,-0.0621,0.957
4.803000,-0.2003,0.9761,-0.0856,0.978
4.812000,-0.2023,0.9840,-0.0485,0.983
4.824000,-0.2502,0.9507,-0.1002,0.970
4.832000,-0.2346,0.9409,-0.0827,0.954
4.846000,-0.2208,0.9605,-0.0192,0.964
4.851000,-0.2033,0.9761,0.0083,0.973
4.863000,-0.1691,0.9595,0.0228,0.948
4.884000,-0.1427,0.9488,-0.0318,0.933
4.886000,-0.1134,0.9479,-0.0562,0.927
4.895000,-0.0880,0.9439,-0.0837,0.921
4.908000,-0.0841,0.9712,-0.0886,0.947
4.918000,-0.1007,1.0103,-0.1032,0.990
4.926000,-0.1046,0.9957,-0.1256,0.980
4.932000,-0.1065,0.9507,-0.1119,0.934
4.942000,-0.0762,0.8373,-0.0876,0.815
4.952000,-0.0391,0.7993,-0.0816,0.771
4.966000,-0.0039,0.8296,-0.0846,0.797
4.980000,-0.0019,0.9449,-0.0856,0.911
4.983000,0.0655,1.0768,-0.1119,1.042
4.994000,0.1387,1.1168,-0.1286,1.086
5.007000,0.0615,1.0123,-0.0485,0.972
5.013000,-0.0655,0.9214,-0.0553,0.893
5.024000,-0.1144,0.9224,-0.0973,0.906
5.038000,-0.1241,0.9155,-0.0837,0.900
5.059000,-0.1388,0.9849,-0.0709,0.970
5.063000,-0.1554,0.9537,-0.0348,0.940
5.064000,-0.1466,0.9468,-0.0162,0.931
5.079000,-0.1524,1.0064,-0.0416,0.991
5.088000,-0.1495,0.9673,-0.0426,0.953
5.093000,-0.0577,0.9771,-0.0416,0.946
5.113000,-0.0557,1.0231,-0.0045,0.989
5.114000,-0.1339,0.9722,-0.0446,0.954
5.124000,-0.2443,0.9752,-0.0865,0.990
5.137000,-0.3382,0.9712,-0.1061,1.022
5.143000,-0.2971,0.9615,-0.0816,0.995
5.158000,-0.2199,0.9742,-0.0905,0.982
5.166000,-0.2033,0.9810,-0.0739,0.982
5.183000,-0.2160,0.9624,-0.0592,0.967
5.205000,-0.2346,0.9479,-0.0543,0.958
5.205000,-0.2346,0.9479,-0.0543,0.958
5.206000,-0.1994,0.9439,-0.0318,0.942
5.216000,-0.2052,0.9624,0.0023,0.961
5.227000,-0.2111,0.9889,0.0092,0.988
5.237000,-0.1212,0.9556,-0.0152,0.934
5.244000,-0.0890,0.9419,-0.0299,0.915
5.255000,-0.1486,0.9556,-0.1149,0.948
5.262000,-0.1847,0.9654,-0.1638,0.974
5.273000,-0.1573,0.9527,-0.1580,0.954
5.289000,-0.1388,0.9595,-0.1540,0.956
5.297000,-0.1172,0.9733,-0.2018,0.974
5.304000,-0.1085,0.9605,-0.2351,0.968
5.316000,-0.0723,0.9458,-0.2596,0.955
5.321000,-0.1290,0.9409,-0.2742,0.965
5.333000,-0.1554,0.9439,-0.2908,0.978
5.341000,-0.1652,0.9556,-0.2733,0.986
5.352000,-0.1544,0.9547,-0.2107,0.966
5.362000,-0.1749,0.9556,-0.2127,0.973
5.379000,-0.1339,0.9742,-0.1256,0.964
5.382000,-0.1221,0.9722,-0.0983,0.957
5.391000,-0.1427,0.9595,-0.1266,0.952
5.401000,-0.1906,0.9586,-0.1501,0.967
5.413000,-0.1535,0.9488,-0.1589,0.950
5.421000,-0.1573,0.9547,-0.1999,0.965
5.432000,-0.2434,0.9635,-0.2127,0.999
5.441000,-0.2600,0.9752,-0.1970,1.012
5.452000,-0.2140,0.9733,-0.2078,0.998
5.467000,-0.2023,0.9722,-0.2146,0.996
5.472000,-0.1817,0.9624,-0.2234,0.983
5.482000,-0.1309,0.9556,-0.1950,0.958
5.491000,-0.0430,0.9693,-0.1608,0.950
5.501000,0.0224,0.9684,-0.1324,0.939
